Dataset,Distance,Radius,Algorithm,Silhouette Score,Adjusted Rand Index,Execution Time
1: 0.1,manhattan,5.154913961056685,KMeans,0.5797337542226622,0.8434690640762975,0.0025768280029296875
1: 0.1,manhattan,5.154913961056685,KMeans,0.5797337542226622,0.8434690640762975,0.0019996166229248047
1: 0.1,manhattan,5.154913961056685,KMeans,0.5797337542226622,0.8434690640762975,0.0019986629486083984
1: 0.1,manhattan,5.154913961056685,KMeans,0.5797337542226622,0.8434690640762975,0.0019948482513427734
1: 0.1,manhattan,5.154913961056685,KMeans,0.5797337542226622,0.8434690640762975,0.002004384994506836
1: 0.1,manhattan,5.154913961056685,KMeans,0.5797337542226622,0.8434690640762975,0.0030689239501953125
1: 0.1,manhattan,5.154913961056685,KMeans,0.5797337542226622,0.8434690640762975,0.0
1: 0.1,manhattan,5.154913961056685,KMeans,0.5797337542226622,0.8434690640762975,0.0
1: 0.1,manhattan,5.154913961056685,KMeans,0.5797337542226622,0.8434690640762975,0.002061605453491211
1: 0.1,manhattan,5.154913961056685,KMeans,0.5797337542226622,0.8434690640762975,0.0020012855529785156
1: 0.1,manhattan,5.154913961056685,KMeans,0.5797337542226622,0.8434690640762975,0.0020380020141601562
1: 0.1,manhattan,5.154913961056685,KMeans,0.5797337542226622,0.8434690640762975,0.002904653549194336
1: 0.1,manhattan,5.154913961056685,KMeans,0.5797337542226622,0.8434690640762975,0.0020356178283691406
1: 0.1,manhattan,5.154913961056685,KMeans,0.5797337542226622,0.8434690640762975,0.0019991397857666016
1: 0.1,manhattan,5.154913961056685,KMeans,0.5797337542226622,0.8434690640762975,0.0020029544830322266
1: 0.1,manhattan,5.154913961056685,KMeans,0.5797337542226622,0.8434690640762975,0.001997232437133789
1: 0.1,manhattan,5.154913961056685,KMeans,0.5797337542226622,0.8434690640762975,0.0
1: 0.1,manhattan,5.154913961056685,KMeans,0.5797337542226622,0.8434690640762975,0.0
1: 0.1,manhattan,5.154913961056685,KMeans,0.5797337542226622,0.8434690640762975,0.0
1: 0.1,manhattan,5.154913961056685,KMeans,0.5797337542226622,0.8434690640762975,0.006717681884765625
1: 0.1,manhattan,5.154913961056685,KMeans,0.5797337542226622,0.8434690640762975,0.001990079879760742
1: 0.1,manhattan,5.154913961056685,KMeans,0.5797337542226622,0.8434690640762975,0.002002716064453125
1: 0.1,manhattan,5.154913961056685,KMeans,0.5797337542226622,0.8434690640762975,0.0019948482513427734
1: 0.1,manhattan,5.154913961056685,KMeans,0.5797337542226622,0.8434690640762975,0.0019953250885009766
1: 0.1,manhattan,5.154913961056685,KMeans,0.5797337542226622,0.8434690640762975,0.0019965171813964844
1: 0.1,manhattan,5.154913961056685,KMeans,0.5797337542226622,0.8434690640762975,0.0019989013671875
1: 0.1,manhattan,5.154913961056685,KMeans,0.5797337542226622,0.8434690640762975,0.0020020008087158203
1: 0.1,manhattan,5.154913961056685,KMeans,0.5797337542226622,0.8434690640762975,0.0020024776458740234
1: 0.1,manhattan,5.154913961056685,KMeans,0.5797337542226622,0.8434690640762975,0.0
1: 0.1,manhattan,5.154913961056685,KMeans,0.5797337542226622,0.8434690640762975,0.0
1: 0.1,euclidean,3.685718202493195,KMeans,0.5657832206081893,0.8434690640762975,0.0
1: 0.1,euclidean,3.685718202493195,KMeans,0.5657832206081893,0.8434690640762975,0.0
1: 0.1,euclidean,3.685718202493195,KMeans,0.5657832206081893,0.8434690640762975,0.0006663799285888672
1: 0.1,euclidean,3.685718202493195,KMeans,0.5657832206081893,0.8434690640762975,0.0
