Dataset,Distance,Radius,Silhouette Score,Adjusted Rand Index,Execution Time
1: 0.1,Manhattan,2.1396579406644487,0.567899906532526,0.44328192805250727,0.0021708011627197266
1: 0.1,Manhattan,2.3000848311148356,0.5352835345846045,0.7340209788358387,0.0
1: 0.1,Manhattan,2.2200793262341283,0.5437560992390502,0.7744854435748467,0.0
1: 0.1,Manhattan,2.0699988076024676,0.5404804115586842,0.7731513764596964,0.0
1: 0.1,Manhattan,1.7020121903526415,0.567899906532526,0.44328192805250727,0.004044294357299805
1: 0.1,Manhattan,2.2904663608050138,0.5299981844075302,0.4249865559464953,0.005017280578613281
1: 0.1,Manhattan,2.2200793262341283,0.5437560992390502,0.7744854435748467,0.0
1: 0.1,Manhattan,2.280092309259344,0.5471108423617358,0.4326769464739292,0.003512859344482422
1: 0.1,Manhattan,2.2200793262341283,0.5437560992390502,0.7744854435748467,0.003023862838745117
1: 0.1,Manhattan,1.9228712620898705,0.567899906532526,0.44328192805250727,0.012397289276123047
1: 0.1,Manhattan,2.3000848311148356,0.5341461142025439,0.7276376866139757,0.0
1: 0.1,Manhattan,2.2200793262341283,0.5437560992390502,0.7744854435748467,0.0032396316528320312
1: 0.1,Manhattan,2.1366044736581054,0.5404804115586842,0.7731513764596964,0.0
1: 0.1,Manhattan,2.2200793262341283,0.5437560992390502,0.7744854435748467,0.0
1: 0.1,Manhattan,2.3000848311148356,0.5231890132504988,0.6863773436475679,0.0
1: 0.1,Manhattan,1.8399164319130952,0.567899906532526,0.44328192805250727,0.0
1: 0.1,Manhattan,2.2200793262341283,0.5437560992390502,0.7744854435748467,0.0024442672729492188
1: 0.1,Manhattan,2.3000848311148356,0.5629439882116168,0.8436179060455625,0.0
1: 0.1,Manhattan,2.2200793262341283,0.5437560992390502,0.7744854435748467,0.0
1: 0.1,Manhattan,2.2200793262341283,0.5437560992390502,0.7744854435748467,0.0
1: 0.1,Manhattan,2.3000848311148356,0.5332923606370072,0.7213762614838702,0.0
1: 0.1,Manhattan,2.2200793262341283,0.5437560992390502,0.7744854435748467,0.0
1: 0.1,Manhattan,2.051071160229711,0.567899906532526,0.44328192805250727,0.0
1: 0.1,Manhattan,1.8452111944759717,0.567899906532526,0.44328192805250727,0.0
1: 0.1,Manhattan,1.8799798132440197,0.567899906532526,0.44328192805250727,0.0
1: 0.1,Manhattan,2.3000848311148356,0.5332923606370072,0.7213762614838702,0.0
1: 0.1,Manhattan,2.2200793262341283,0.5437560992390502,0.7744854435748467,0.0
1: 0.1,Manhattan,2.2200793262341283,0.5437560992390502,0.7744854435748467,0.011126518249511719
1: 0.1,Manhattan,2.1987525470585334,0.4926085474219539,0.6314370932408525,0.0
1: 0.1,Manhattan,2.2200793262341283,0.5437560992390502,0.7744854435748467,0.0
1: 0.1,Euclidean,1.5825976529928554,0.5543819945567384,0.8275518324256108,0.0
1: 0.1,Euclidean,1.5030690743239834,0.5656947204058204,0.4420090118835087,0.0010683536529541016
1: 0.1,Euclidean,1.5335401947850584,0.5415026030794803,0.8098050318194561,0.0
1: 0.1,Euclidean,1.5335401947850584,0.5454667686196901,0.8192304901937075,0.0
1: 0.1,Euclidean,1.6840784622369525,0.5656947204058204,0.4420090118835087,0.0
1: 0.1,Euclidean,1.6441723383291629,0.5459430796798934,0.8506036817493282,0.012011528015136719
1: 0.1,Euclidean,1.6441723383291629,0.5383035124435719,0.7930198759194065,0.0
1: 0.1,Euclidean,1.5825976529928554,0.5543819945567384,0.8275518324256108,0.0
