,label,distance_type,algorithm,silhouette_mean,silhouette_std,rand_index_mean,rand_index_std,exec_time_mean,exec_time_std
0,abstenteeism_at_work,euclidean,KMeans,0.2570213720207617,0.0,0.04355524538293854,0.0,0.004540475209554037,0.0035350633522538396
1,abstenteeism_at_work,euclidean,Maiores Distancias,0.12121968561543152,0.020385581435951906,0.036005181945990804,0.00874645525010633,0.0437568187713623,0.008307492970569326
2,abstenteeism_at_work,manhattan,KMeans,0.37047491021750356,0.0,0.04355524538293854,0.0,0.005057342847188314,0.0032194892943873408
3,abstenteeism_at_work,manhattan,Maiores Distancias,0.23827119750361117,0.02889206929227146,0.025873369788833086,0.006092950628977219,0.04889634450276693,0.017401376240439217
4,blood_transfusion_service_center,euclidean,KMeans,0.45430457426844756,0.0,0.034146116065927,0.0,0.0032694419225056965,0.00659201188226197
5,blood_transfusion_service_center,euclidean,Maiores Distancias,0.709991926459021,0.1061751893712279,0.026690607419325867,0.019872544446032134,0.0006509304046630859,0.0028718937550997786
6,blood_transfusion_service_center,manhattan,KMeans,0.4973412521719179,0.0,0.034146116065927,0.0,0.0047871033350626625,0.00679842214734189
7,blood_transfusion_service_center,manhattan,Maiores Distancias,0.6701364329608483,0.1753841818172885,0.023124098822691872,0.026434249632114593,0.0016600131988525391,0.004802908044251127
8,breast_cancer_wisconsin_original,euclidean,KMeans,0.5720546968543663,0.0,0.8498138191976927,0.0,0.0036522467931111653,0.006633480157190195
9,breast_cancer_wisconsin_original,euclidean,Maiores Distancias,0.4976228728065681,0.08694877335022415,0.30238190486503747,0.22572705931182205,0.0013177951176961264,0.003920159910359434
10,breast_cancer_wisconsin_original,manhattan,KMeans,0.6368592669241484,0.0,0.8498138191976927,0.0,0.003644394874572754,0.00651345565688832
11,breast_cancer_wisconsin_original,manhattan,Maiores Distancias,0.579423529553559,0.020062535265752673,0.3683068147223898,0.13528829172177625,0.0006928761800130208,0.002934425609030614
12,mammographic_mass,euclidean,KMeans,0.411904543280483,0.0,0.3256148110116881,0.0,0.0017829259236653646,0.004881744270056399
13,mammographic_mass,euclidean,Maiores Distancias,0.9081562441083264,0.0,0.0003320449777925208,0.0,0.00024387836456298828,0.00045289076202079603
14,mammographic_mass,manhattan,KMeans,0.4922764086474708,0.0,0.3256148110116881,0.0,0.00291134516398112,0.0062198645993813365
15,mammographic_mass,manhattan,Maiores Distancias,0.8658553386638543,0.0,0.0003320449777925208,0.0,0.0011439085006713866,0.003994856201192948
16,maternal_health_risk,euclidean,KMeans,0.2921837684039008,0.0,0.12150423692920867,0.0,0.0026109059651692706,0.004918564673221289
17,maternal_health_risk,euclidean,Maiores Distancias,0.28276052620089287,0.04285207254192331,0.08903373889294972,0.07943319839619598,0.0020217021306355794,0.005053820038211163
18,maternal_health_risk,manhattan,KMeans,0.33563316049701175,0.0,0.12150423692920867,0.0,0.0021884600321451825,0.00462491111877261
19,maternal_health_risk,manhattan,Maiores Distancias,0.277561306204974,0.09157700925301016,0.07141198981069419,0.07457722830512098,0.0015460570653279622,0.004010528336087634
20,raisin,euclidean,KMeans,0.4411362957481304,0.0,0.28618101650067673,0.0,0.0030184507369995115,0.005122138962710957
21,raisin,euclidean,Maiores Distancias,0.5412849523084046,0.049234326492116356,0.016561421866505867,0.07908642998613759,4.9050649007161455e-05,0.00019903371924718345
22,raisin,manhattan,KMeans,0.4863238577328187,0.0,0.28618101650067673,0.0,0.0025353272755940753,0.0051406996602626175
23,raisin,manhattan,Maiores Distancias,0.522515510836488,0.0494359545705642,0.05992638434434864,0.14458611180180275,0.0011505126953125,0.0033853306360454457
24,rice_cammeo_and_osmancik,euclidean,KMeans,0.4099613567496324,0.0,0.6815391024991305,0.0,0.005345877011617025,0.007532983036610926
25,rice_cammeo_and_osmancik,euclidean,Maiores Distancias,0.28858760893716623,0.03203890383429614,0.06253736110994416,0.06145803927459952,0.005125808715820313,0.007193569142910094
26,rice_cammeo_and_osmancik,manhattan,KMeans,0.4572386293969233,0.0,0.6815391024991305,0.0,0.003837450345357259,0.006427067277797304
27,rice_cammeo_and_osmancik,manhattan,Maiores Distancias,0.32146406669940825,0.04867146018539868,0.12402681669310013,0.1340412984817081,0.00516963005065918,0.007647355920050933
28,statlog_vehicle_silhouettes,euclidean,KMeans,0.2992462986178058,0.0,0.0745718889710186,0.0,0.00266877015431722,0.006072968722967414
29,statlog_vehicle_silhouettes,euclidean,Maiores Distancias,0.31418067174217257,0.06471631452964902,0.03338421681187384,0.0190998988961295,0.005026920636494955,0.01019184066865339
30,statlog_vehicle_silhouettes,manhattan,KMeans,0.3268911057848367,0.0,0.0745718889710186,0.0,0.003677082061767578,0.006149255160695894
31,statlog_vehicle_silhouettes,manhattan,Maiores Distancias,0.3142507687140197,0.09568017603036541,0.07623945794850419,0.03311214867397655,0.0043016592661539715,0.006788971144760084
32,wine_quality,euclidean,KMeans,0.17514670958875875,0.0,0.03360098593013651,0.0,0.011788360277811686,0.006541434513060541
33,wine_quality,euclidean,Maiores Distancias,0.2971291869763297,0.08619000613176213,0.00038507048688083263,0.0026187418582415997,0.08591305414835612,0.01772690808784943
34,wine_quality,manhattan,KMeans,0.17963737085024534,0.0,0.03360098593013651,0.0,0.011561981836954753,0.007933334095888186
35,wine_quality,manhattan,Maiores Distancias,0.1672537169432827,0.07865552139110912,0.006970678554197585,0.01271604434036188,0.07281262874603271,0.01210768867508895
36,yeast,euclidean,KMeans,0.20401121582851395,0.0,0.17734273511714785,0.0,0.00800328254699707,0.008247479614746126
