,label,distance_type,algorithm,precision,radius_min,silhouette_mean,silhouette_max,rand_index_mean,rand_index_max,exec_time_mean
0,10: 0.1,euclidean,Busca Binaria 1,2,1.2185186112847848,0.6346276336488529,0.668378249577582,0.904272025208032,0.9899831669528851,0.00534440280000202
1,10: 0.1,euclidean,Busca Binaria 1,20,1.170920228031473,0.655299462297919,0.668378249577582,0.9424899882950422,0.9899831669528851,0.045202599300002554
2,10: 0.1,euclidean,Busca Binaria 1,3,1.2185186112847848,0.612409805652084,0.668378249577582,0.8554591870863921,0.9800666666666666,0.006798335400001558
3,10: 0.1,euclidean,Busca Binaria 1,4,1.0662037848741868,0.6481733874308921,0.668378249577582,0.931064423290234,0.9899831669528851,0.010931614466661207
4,10: 0.1,euclidean,Busca Binaria 1,5,1.2185186112847848,0.6401049081561629,0.668378249577582,0.9110527523858648,0.9899831669528851,0.01160665203333527
5,10: 0.1,euclidean,Busca Binaria 1,6,1.2185186112847848,0.6487308641115722,0.668378249577582,0.9358905979386771,0.9899831669528851,0.01484940573332949
6,10: 0.1,euclidean,Busca Binaria 2,2,1.2185186112847848,0.6668938134614814,0.6668938134614814,0.9700501725475712,0.9700501725475712,0.06885933399999544
7,10: 0.1,euclidean,Busca Binaria 2,20,1.0688858422118002,0.6662037166277138,0.6662037166277138,0.9605467603426407,0.9605467603426407,0.5611942419999991
8,10: 0.1,euclidean,Busca Binaria 2,3,1.2185186112847848,0.668378249577582,0.668378249577582,0.9702555619013858,0.9702555619013858,0.14270913900000437
9,10: 0.1,euclidean,Busca Binaria 2,4,1.0662037848741868,0.668378249577582,0.668378249577582,0.9702555619013858,0.9702555619013858,0.20147421200002213
10,10: 0.1,euclidean,Busca Binaria 2,5,1.2185186112847848,0.6671692363263296,0.6671692363263296,0.9899831669528851,0.9899831669528851,0.22808193899999196
11,10: 0.1,euclidean,Busca Binaria 2,6,1.1423611980794859,0.6635937544015527,0.6635937544015527,0.970151859257011,0.970151859257011,0.29015384499999186
12,10: 0.1,manhattan,Busca Binaria 1,2,1.7186619893490518,0.5751065402131417,0.6697718568894152,0.7854852596129928,0.9899831669528851,0.0004097919666681567
13,10: 0.1,manhattan,Busca Binaria 1,20,1.5038292406804203,0.6417687478611138,0.6697718568894152,0.9061194303603958,0.9702555619013858,0.002277284166667452
14,10: 0.1,manhattan,Busca Binaria 1,3,1.7186619893490518,0.6107838890426404,0.6697718568894152,0.8404091552489693,0.9899831669528851,0.0004950489666669001
15,10: 0.1,manhattan,Busca Binaria 1,4,1.7186619893490518,0.6340746511565238,0.6697718568894152,0.8976094510249967,0.9702555619013858,0.000730726000000459
16,10: 0.1,manhattan,Busca Binaria 1,5,1.5038292406804203,0.6422316795834492,0.6697718568894152,0.9078299408534438,0.9899831669528851,0.0007088454333370464
17,10: 0.1,manhattan,Busca Binaria 1,6,1.5038292406804203,0.6442928250471234,0.6697718568894152,0.9164998897629513,0.9800680223095938,0.0008246896666652977
18,10: 0.1,manhattan,Busca Binaria 2,2,1.7186619893490518,0.6505568284480929,0.6505568284480929,0.9315138762409921,0.9315138762409921,0.004143048999992516
19,10: 0.1,manhattan,Busca Binaria 2,20,1.504265226330642,0.6651234954019821,0.6651234954019821,0.9599401603578529,0.9599401603578529,0.031985493000007637
20,10: 0.1,manhattan,Busca Binaria 2,3,1.7186619893490518,0.6645993383695449,0.6645993383695449,0.9509425707085792,0.9509425707085792,0.010879087000006393
21,10: 0.1,manhattan,Busca Binaria 2,4,1.7186619893490518,0.6697718568894152,0.6697718568894152,0.9702555619013858,0.9702555619013858,0.008924183999994284
22,10: 0.1,manhattan,Busca Binaria 2,5,1.5038292406804203,0.667218694381516,0.667218694381516,0.9605467603426407,0.9605467603426407,0.010483986000025425
23,10: 0.1,manhattan,Busca Binaria 2,6,1.5038292406804203,0.6689728052264842,0.6689728052264842,0.9800680223095938,0.9800680223095938,0.012143994000012981
24,11: 0.5,euclidean,Busca Binaria 1,2,1.989544566935773,0.41322840074599715,0.48017871947784896,0.5389584489499016,0.7268591826782796,0.00490560633333151
25,11: 0.5,euclidean,Busca Binaria 1,20,1.905270645460344,0.4170590369383642,0.48296241825700925,0.5615294772243422,0.7338642212099014,0.0431266534666662
