Dataset,Distance,Radius,Silhouette Score,Adjusted Rand Index,Execution Time
noisy_circles,manhattan,Maiores Distancias,2.20395655642488,0.3294782706285687,0.013286061998365168,0.0
noisy_circles,manhattan,Maiores Distancias,2.685464166854847,0.3003489461315943,0.011434995798150775,0.0
noisy_circles,manhattan,Maiores Distancias,2.2848793313054823,0.3382026206667334,0.010424776346828838,0.0
noisy_circles,manhattan,Maiores Distancias,2.484217502607093,0.33092899421314054,0.009029193853389593,0.0
noisy_circles,manhattan,Maiores Distancias,2.684047641607791,0.2828222649016024,0.03173154481834023,0.0
noisy_circles,manhattan,Maiores Distancias,2.645249555410934,0.2811045012825811,0.04106743644285902,0.0
noisy_circles,manhattan,Maiores Distancias,2.727592169215142,0.27126033345096756,0.06812154304764238,0.0
noisy_circles,manhattan,Maiores Distancias,2.2480008192152026,0.2910741031154847,0.032257397824686604,0.0
noisy_circles,manhattan,Maiores Distancias,2.267996319588177,0.3282472890428446,0.012658019100151728,0.002005338668823242
noisy_circles,manhattan,Maiores Distancias,2.505612515865335,0.369356676166758,0.0005551613821152195,0.0
noisy_circles,manhattan,Maiores Distancias,2.4928309150304493,0.37291810482718746,-0.0008857221936036969,0.0
noisy_circles,manhattan,Maiores Distancias,2.4686106486858845,0.285563587252228,0.02957430668946631,0.0
noisy_circles,manhattan,Maiores Distancias,2.727592169215142,0.3656199041984477,0.0018756054365294832,0.01301121711730957
noisy_circles,manhattan,Maiores Distancias,2.3705671822864582,0.3204307909147588,0.016064982059707068,0.0
noisy_circles,manhattan,Maiores Distancias,2.6271858920235456,0.2683007816981556,0.06965362589326088,0.0
noisy_circles,manhattan,Maiores Distancias,2.7668596118548345,0.3739445477231383,-0.0016526785683571433,0.0
noisy_circles,manhattan,Maiores Distancias,2.6263394423899538,0.35813768818182573,0.0013075745350759472,0.0
noisy_circles,manhattan,Maiores Distancias,2.4855959817940096,0.36404721096713116,0.00047620107027572983,0.015105962753295898
noisy_circles,manhattan,Maiores Distancias,2.6786703494319877,0.26402351165592763,0.0644359473291113,0.0
noisy_circles,manhattan,Maiores Distancias,2.4719666541579706,0.36570623902096383,0.00013239330017885312,0.0004508495330810547
noisy_circles,manhattan,Maiores Distancias,2.57310316259316,0.36333535580525894,0.0008105598080582029,0.0019989013671875
noisy_circles,manhattan,Maiores Distancias,2.193159875660056,0.30685761798232297,0.02187430657145009,0.0009071826934814453
