Dataset,Distance,Radius,Algorithm,Silhouette Score,Adjusted Rand Index,Execution Time
abstenteeism_at_work,manhattan,40.30761098549085,KMeans,0.37047491021750356,0.04355524538293854,0.005602836608886719
abstenteeism_at_work,manhattan,40.30761098549085,KMeans,0.37047491021750356,0.04355524538293854,0.0050427913665771484
abstenteeism_at_work,manhattan,40.30761098549085,KMeans,0.37047491021750356,0.04355524538293854,0.0103759765625
abstenteeism_at_work,manhattan,40.30761098549085,KMeans,0.37047491021750356,0.04355524538293854,0.005021572113037109
abstenteeism_at_work,manhattan,40.30761098549085,KMeans,0.37047491021750356,0.04355524538293854,0.005005598068237305
abstenteeism_at_work,manhattan,40.30761098549085,KMeans,0.37047491021750356,0.04355524538293854,0.006376504898071289
abstenteeism_at_work,manhattan,40.30761098549085,KMeans,0.37047491021750356,0.04355524538293854,0.005512237548828125
abstenteeism_at_work,manhattan,40.30761098549085,KMeans,0.37047491021750356,0.04355524538293854,0.005019664764404297
abstenteeism_at_work,manhattan,40.30761098549085,KMeans,0.37047491021750356,0.04355524538293854,0.004050493240356445
abstenteeism_at_work,manhattan,40.30761098549085,KMeans,0.37047491021750356,0.04355524538293854,0.008513689041137695
abstenteeism_at_work,manhattan,40.30761098549085,KMeans,0.37047491021750356,0.04355524538293854,0.005827665328979492
abstenteeism_at_work,manhattan,40.30761098549085,KMeans,0.37047491021750356,0.04355524538293854,0.002508401870727539
abstenteeism_at_work,manhattan,40.30761098549085,KMeans,0.37047491021750356,0.04355524538293854,0.006295204162597656
abstenteeism_at_work,manhattan,40.30761098549085,KMeans,0.37047491021750356,0.04355524538293854,0.005026102066040039
abstenteeism_at_work,manhattan,40.30761098549085,KMeans,0.37047491021750356,0.04355524538293854,0.005996227264404297
abstenteeism_at_work,manhattan,40.30761098549085,KMeans,0.37047491021750356,0.04355524538293854,0.013671875
abstenteeism_at_work,manhattan,40.30761098549085,KMeans,0.37047491021750356,0.04355524538293854,0.0050067901611328125
abstenteeism_at_work,manhattan,40.30761098549085,KMeans,0.37047491021750356,0.04355524538293854,0.004422426223754883
abstenteeism_at_work,manhattan,40.30761098549085,KMeans,0.37047491021750356,0.04355524538293854,0.0
abstenteeism_at_work,manhattan,40.30761098549085,KMeans,0.37047491021750356,0.04355524538293854,0.0
abstenteeism_at_work,manhattan,40.30761098549085,KMeans,0.37047491021750356,0.04355524538293854,0.0
abstenteeism_at_work,manhattan,40.30761098549085,KMeans,0.37047491021750356,0.04355524538293854,0.0032050609588623047
abstenteeism_at_work,manhattan,40.30761098549085,KMeans,0.37047491021750356,0.04355524538293854,0.00986480712890625
abstenteeism_at_work,manhattan,40.30761098549085,KMeans,0.37047491021750356,0.04355524538293854,0.00904393196105957
abstenteeism_at_work,manhattan,40.30761098549085,KMeans,0.37047491021750356,0.04355524538293854,0.00500941276550293
