,label,distance_type,algorithm,precision,radius_min,silhouette_mean,silhouette_max,rand_index_mean,rand_index_max,exec_time_mean
0,abstenteeism_at_work,euclidean,Busca Binaria 1,2,5.899270024678266,0.1160536936699971,0.15931047690904754,0.033434573913411626,0.06349299394299353,0.023048032966666673
1,abstenteeism_at_work,euclidean,Busca Binaria 1,20,5.737916852082506,0.13553862080940246,0.18123146831646733,0.03888449872707611,0.0546451251016877,0.3521124955666721
2,abstenteeism_at_work,euclidean,Busca Binaria 1,3,5.899270024678266,0.12229010496175435,0.17905155441718618,0.03514796770757494,0.049935988595408994,0.0659598080999956
3,abstenteeism_at_work,euclidean,Busca Binaria 1,4,5.899270024678266,0.1314132507773038,0.17781943463663857,0.036392568111481303,0.04834514982198839,0.043869009533331865
4,abstenteeism_at_work,euclidean,Busca Binaria 1,5,5.899270024678266,0.12974229652783933,0.18059889805384224,0.03508879215609437,0.05499086553463164,0.05735873249999486
5,abstenteeism_at_work,euclidean,Busca Binaria 1,6,5.7149178364070705,0.1349837107111274,0.1747247947819188,0.035643505946444345,0.05461372780954776,0.102947079033324
6,abstenteeism_at_work,euclidean,Busca Binaria 2,2,5.899270024678266,0.1705649415596004,0.1705649415596004,0.03920769181447104,0.03920769181447104,0.6626388180000049
7,abstenteeism_at_work,euclidean,Busca Binaria 2,20,5.738164395304061,0.13635931353437064,0.13635931353437064,0.044238125257179205,0.044238125257179205,1.0142486480000343
8,abstenteeism_at_work,euclidean,Busca Binaria 2,3,5.899270024678266,0.09706930207362567,0.09706930207362567,0.041214099027712746,0.041214099027712746,0.7030210920000286
9,abstenteeism_at_work,euclidean,Busca Binaria 2,4,5.899270024678266,0.10715067427591443,0.10715067427591443,0.020339343132328117,0.020339343132328117,0.7624210309999739
10,abstenteeism_at_work,euclidean,Busca Binaria 2,5,5.899270024678266,0.13373512542150837,0.13373512542150837,0.03736438266951632,0.03736438266951632,0.7489420429999996
11,abstenteeism_at_work,euclidean,Busca Binaria 2,6,5.899270024678266,0.11877162694742863,0.11877162694742863,0.03137505491282236,0.03137505491282236,0.7579928609999911
12,abstenteeism_at_work,manhattan,Busca Binaria 1,2,16.45567676029192,0.19197178438358745,0.28583062475508775,0.027338027795803407,0.04242114262760074,0.003464455866666564
13,abstenteeism_at_work,manhattan,Busca Binaria 1,20,17.138651625831375,0.23582102433580393,0.30167932381551155,0.028739170883302714,0.03850591410484476,0.02451597779999967
14,abstenteeism_at_work,manhattan,Busca Binaria 1,3,16.45567676029192,0.21741765085192385,0.30320616395072525,0.027375211249693727,0.04972066153317697,0.004290626933332457
15,abstenteeism_at_work,manhattan,Busca Binaria 1,4,17.826983156982912,0.22508577664463658,0.32992548013290707,0.025269434115252846,0.03476272996308338,0.006034694066664769
16,abstenteeism_at_work,manhattan,Busca Binaria 1,5,17.141329958637414,0.22958513315076817,0.3219447312608423,0.026905010020306194,0.041277343767809074,0.0071358765333343396
17,abstenteeism_at_work,manhattan,Busca Binaria 1,6,16.45567676029192,0.23657106989595686,0.30169810679570097,0.026992015589385597,0.0385885035824668,0.008054330699998976
18,abstenteeism_at_work,manhattan,Busca Binaria 2,2,21.940902347055893,0.1702357122837112,0.1702357122837112,0.03586754321167179,0.03586754321167179,0.07117495900001813
19,abstenteeism_at_work,manhattan,Busca Binaria 2,20,16.430818483935887,0.24427115844572994,0.24427115844572994,0.024788484366106037,0.024788484366106037,0.5660461159999954
20,abstenteeism_at_work,manhattan,Busca Binaria 2,3,19.198289553673906,0.2232650783964121,0.2232650783964121,0.024261951873647408,0.024261951873647408,0.07492114699999775
21,abstenteeism_at_work,manhattan,Busca Binaria 2,4,17.826983156982912,0.27857087894589944,0.27857087894589944,0.030798191369017014,0.030798191369017014,0.08567529399999785
22,abstenteeism_at_work,manhattan,Busca Binaria 2,5,16.45567676029192,0.25731496921793273,0.25731496921793273,0.02707169887312534,0.02707169887312534,0.1620542109999974
23,abstenteeism_at_work,manhattan,Busca Binaria 2,6,17.141329958637414,0.21829829106779433,0.21829829106779433,0.023647867394367764,0.023647867394367764,0.08260665799997469
24,blood_transfusion_service_center,euclidean,Busca Binaria 1,2,7.4363752719360905,0.6832688780214,0.7506312142933567,0.026687624808200174,0.06938542398672348,0.012965172033348911
25,blood_transfusion_service_center,euclidean,Busca Binaria 1,20,7.144076341569463,0.6822413799865923,0.7506312142933567,0.030953198260165626,0.06145644467186622,0.09399314523329849
26,blood_transfusion_service_center,euclidean,Busca Binaria 1,3,7.4363752719360905,0.686521637435384,0.7506312142933567,0.027612470131469356,0.06386679623586444,0.019040578166626194
27,blood_transfusion_service_center,euclidean,Busca Binaria 1,4,7.4363752719360905,0.7008182866520193,0.7506312142933567,0.03399795424758872,0.07762006600334467,0.02358384759998747
28,blood_transfusion_service_center,euclidean,Busca Binaria 1,5,6.971601817440085,0.6997192272956613,0.7506312142933567,0.031194554174551994,0.06638078023932663,0.030792264999998528
29,blood_transfusion_service_center,euclidean,Busca Binaria 1,6,6.971601817440085,0.688779199731284,0.7506312142933567,0.034676122714568616,0.06098628181412511,0.0345098853666741
30,blood_transfusion_service_center,euclidean,Busca Binaria 2,2,7.4363752719360905,0.7027123839444299,0.7027123839444299,0.02890165684296282,0.02890165684296282,0.32741620900014823
31,blood_transfusion_service_center,euclidean,Busca Binaria 2,20,6.531415911264661,0.6344416837527799,0.6344416837527799,0.061764470907996784,0.061764470907996784,0.6220143470000039
