label,distance_type,algorithm,silhouette_mean,silhouette_std,rand_index_mean,rand_index_std,exec_time_mean,exec_time_std
1: 0.1,euclidean,KMeans,0.5657832206081893,0.0,0.8434690640762975,0.0,0.0025191307067871094,0.004220044861228709
1: 0.1,euclidean,Maiores Distancias,0.5473065241836407,0.021693784980835594,0.6693144094583314,0.1726261561141843,0.0012021462122599285,0.004117513960621027
1: 0.1,manhattan,KMeans,0.5797337542226622,0.0,0.8434690640762975,0.0,0.001832111676534017,0.004791475433512839
1: 0.1,manhattan,Maiores Distancias,0.5554488198049835,0.017141800798413934,0.6899067858797652,0.1302203851597615,0.0009279886881510417,0.0029104817905132065
2: 0.1,manhattan,Maiores Distancias,0.6037130643264711,0.04056985419299765,0.7583033328541228,0.14405802098464535,0.0009804328282674154,0.0036044815987759512
2: 0.1,manhattan,KMeans,0.6677683736973351,0.0,0.9227038569978269,0.0,0.002297202746073405,0.005052804892040115
2: 0.1,euclidean,Maiores Distancias,0.6322143987693043,0.057012517149774046,0.8146812124261261,0.16059202979220955,0.0010177055994669596,0.0038051078992384813
2: 0.1,euclidean,KMeans,0.6785345122811758,0.0,0.9227038569978269,0.0,0.0028724034627278646,0.005471736354605888
3: 0.1,euclidean,KMeans,0.4989185681668662,0.0,0.7690958867602256,0.0,0.0013467073440551758,0.003894270563337611
3: 0.1,euclidean,Maiores Distancias,0.39480037408307445,0.06076168117760647,0.4042519335072123,0.0938992831764602,0.0005885124206542969,0.0029640090051109213
3: 0.1,manhattan,KMeans,0.4984102234156658,0.0,0.7690958867602256,0.0,0.0021839141845703125,0.004524689018690643
3: 0.1,manhattan,Maiores Distancias,0.3856644940882277,0.0596179069229731,0.4564313760639877,0.07426799527200385,0.0005507310231526693,0.002484995656559898
4: 0.1,euclidean,KMeans,0.38083435596141935,0.0,0.3873731768423269,0.0,0.0013344605763753255,0.003065227314441847
4: 0.1,euclidean,Maiores Distancias,0.26675702970057263,0.04712073108382049,0.1815203151583558,0.1058326005640218,0.0006385326385498046,0.0023893533818197033
