Dataset,Distance,Radius,Algorithm,Silhouette Score,Adjusted Rand Index,Execution Time
abstenteeism_at_work,manhattan,21.940902347055893,Busca Binaria 1,2,0.12343227263967728,0.01911653688988758,0.0033356589999584685
abstenteeism_at_work,manhattan,21.940902347055893,Busca Binaria 1,2,0.21208015457411436,0.026264154366679678,0.0029132360000403423
abstenteeism_at_work,manhattan,21.940902347055893,Busca Binaria 1,2,0.202205691505606,0.036518767608861,0.0026768589999619508
abstenteeism_at_work,manhattan,21.940902347055893,Busca Binaria 1,2,0.23573037004552935,0.027083726280031424,0.0028880390000267653
abstenteeism_at_work,manhattan,21.940902347055893,Busca Binaria 1,2,0.14875233533419646,0.03500846302134466,0.0027955330000395406
abstenteeism_at_work,manhattan,21.940902347055893,Busca Binaria 1,2,0.1532338570331407,0.01927545315148111,0.002992455999901722
abstenteeism_at_work,manhattan,21.940902347055893,Busca Binaria 1,2,0.18866629629172466,0.014221159350477401,0.0030270969999719455
abstenteeism_at_work,manhattan,21.940902347055893,Busca Binaria 1,2,0.21693378900045718,0.03138460658635972,0.002687612000045192
abstenteeism_at_work,manhattan,21.940902347055893,Busca Binaria 1,2,0.21698804203516087,0.027918089406566732,0.0028661700000611745
abstenteeism_at_work,manhattan,21.940902347055893,Busca Binaria 1,2,0.319620810052442,0.028906047936862474,0.002644905000011022
abstenteeism_at_work,manhattan,21.940902347055893,Busca Binaria 1,2,0.23334961609990804,0.025723429564758607,0.002631541000027937
abstenteeism_at_work,manhattan,21.940902347055893,Busca Binaria 1,2,0.1458922909684627,0.01993056456172084,0.00386428399997385
abstenteeism_at_work,manhattan,21.940902347055893,Busca Binaria 1,2,0.17254731363942888,0.033711795384988585,0.003103449000036562
abstenteeism_at_work,manhattan,21.940902347055893,Busca Binaria 1,2,0.18265602024561467,0.02812397905380044,0.002838650999933634
abstenteeism_at_work,manhattan,21.940902347055893,Busca Binaria 1,2,0.21859495398550927,0.018469742306981955,0.0033418589999882897
abstenteeism_at_work,manhattan,21.940902347055893,Busca Binaria 1,2,0.2033906351994133,0.03498341063318378,0.004035349999981008
abstenteeism_at_work,manhattan,21.940902347055893,Busca Binaria 1,2,0.22091596111028886,0.019873733551112334,0.002661358999944241
abstenteeism_at_work,manhattan,21.940902347055893,Busca Binaria 1,2,0.18034050265319887,0.029326113628503323,0.00264254000001074
